Source,Target,value
Geralt,Velerad,9
Ostrit,Velerad,9
Adda,Ostrit,5
Adda,Segelin,3
Ostrit,Segelin,6
Foltest,Geralt,20
Adda,Foltest,4
Geralt,Ostrit,15
Segelin,Velerad,6
Foltest,Velerad,6
Adda,Geralt,5
Geralt,Nenneke,101
Iola,Nenneke,26
Geralt,Roach,91
Rulle,Two,4
Geralt,Rulle,4
Geralt,Nivellen,46
Fenne,Geralt,5
Fenne,Nivellen,4
Nivellen,Primula,2
Geralt,Primula,15
Ilka,Primula,6
Nivellen,Venimira,1
Nivellen,Roach,5
Glutton,Roach,3
Glutton,Vereena,4
Geralt,Vereena,1
Roach,Vereena,1
Nivellen,Vereena,17
Falwick,Geralt,60
Falwick,Nenneke,32
Geralt,Hereward,15
Hereward,Nenneke,5
Falwick,Hereward,9
Dragomir,Trigla,6
Caldemeyn,Geralt,13
Borg,Karelka,6
Borg,Caldemeyn,3
Geralt,Irion,3
Geralt,Stregobor,41
Geralt,Two,54
Geralt,Zavist,4
Evermir,Silvena,4
Abrad,Evermir,1
Fredefalk,Stregobor,9
Fredefalk,Geralt,4
Aridea,Fredefalk,6
Fredefalk,Renfri,6
Aridea,Renfri,3
Eltibald,Stregobor,9
Nimir,Two,3
Nimir,Nohorn,1
Geralt,Nohorn,6
Geralt,Tavik,26
Nohorn,Tavik,12
Fifteen,Nohorn,27
Civril,Geralt,10
Civril,Nohorn,2
Civril,Tavik,8
Fifteen,Tavik,9
Civril,Fifteen,14
Civril,Renfri,8
Geralt,Renfri,31
Renfri,Tavik,10
Caldemeyn,Renfri,11
Audoen,Renfri,20
Geralt,Libushe,7
Audoen,Geralt,3
Renfri,Stregobor,9
Geralt,Marilka,5
Audoen,Caldemeyn,5
Geralt,Nimir,6
Nimir,Tavik,4
Geralt,Iola,3
Iola,Yennefer,18
Geralt,Haxo,10
Geralt,Roegner,7
Drogodar,Two,5
Haxo,Rainfarn,5
Eylembert,Rainfarn,4
Drogodar,Eylembert,5
Eist,Pavetta,16
Draig,Vissegerd,4
Fodcat,Vissegerd,6
Fodcat,Wieldhill,6
Vissegerd,Wieldhill,3
Drogodar,Geralt,9
Eist,Vissegerd,6
Draig,Geralt,6
Draig,Eist,6
Haxo,Pavetta,6
Pavetta,Vissegerd,12
Geralt,Vissegerd,69
Geralt,Pavetta,68
Eist,Geralt,21
Geralt,Mousesack,18
Mousesack,Pavetta,2
Calanthe,Pavetta,18
Calanthe,Roegner,9
Draig,Windhalm,1
Pavetta,Windhalm,6
Pavetta,Rainfarn,5
Supree,Zatret,4
Rumplestelt,Supree,5
Eist,Rainfarn,8
Geralt,Ravix,4
Rainfarn,Ravix,4
Geralt,Rainfarn,7
Draig,Rainfarn,3
Geralt,Roderick,3
Geralt,Millet,8
Dhun,Geralt,57
Dhun,Lille,25
Dhun,Nettly,11
Geralt,Lille,39
Galarr,Torque,12
Galarr,Vanadain,6
Toruviel,Vanadain,8
Galarr,Toruviel,14
Filavandrel,Galarr,7
Geralt,Vanadain,6
Geralt,Toruviel,14
Torque,Toruviel,5
Torque,Vanadain,4
Galarr,Geralt,5
Geralt,Torque,15
Filavandrel,Toruviel,22
Filavandrel,Torque,13
Filavandrel,Lille,1
